,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
15983,M. Døhr Thychosen,20,Denmark,58,71,AC Horsens,ST,58.0,54.0,53.0,58.0,55.0,58.0,57.0,54.0,55.0,53.0,58.0,59.0,57.0,59.0,57.0,58.0,57.0,54.0,55.0,53.0,58.0,59.0,57.0,59.0,57.0,57.0
15991,M. Eisa,22,Sudan,58,66,Cheltenham Town,ST,53.0,32.0,34.0,56.0,45.0,53.0,38.0,32.0,45.0,34.0,56.0,56.0,57.0,57.0,41.0,53.0,38.0,32.0,45.0,34.0,56.0,56.0,57.0,57.0,41.0,57.0
15993,A. Jawo,32,Sweden,58,58,Djurgårdens IF,ST,59.0,48.0,49.0,59.0,54.0,59.0,51.0,48.0,54.0,49.0,59.0,59.0,57.0,60.0,52.0,59.0,51.0,48.0,54.0,49.0,59.0,59.0,57.0,60.0,52.0,57.0
15995,J. O'Flynn,33,Republic of Ireland,58,58,Limerick FC,ST,55.0,40.0,42.0,57.0,50.0,55.0,44.0,40.0,50.0,42.0,57.0,56.0,57.0,56.0,45.0,55.0,44.0,40.0,50.0,42.0,57.0,56.0,57.0,56.0,45.0,57.0
15967,S. Otayf,26,Saudi Arabia,58,59,Al Raed,ST,59.0,37.0,43.0,59.0,55.0,59.0,41.0,37.0,55.0,43.0,59.0,58.0,57.0,59.0,44.0,59.0,41.0,37.0,55.0,43.0,59.0,58.0,57.0,59.0,44.0,57.0
15818,B. Spencer,22,United States,58,65,Toronto FC,ST,53.0,41.0,43.0,54.0,50.0,53.0,37.0,41.0,50.0,43.0,54.0,51.0,57.0,51.0,39.0,53.0,37.0,41.0,50.0,43.0,54.0,51.0,57.0,51.0,39.0,57.0
15837,J. Romero,16,Argentina,58,82,Atlético Tucumán,ST,56.0,37.0,40.0,58.0,50.0,56.0,44.0,37.0,50.0,40.0,58.0,56.0,57.0,58.0,45.0,56.0,44.0,37.0,50.0,40.0,58.0,56.0,57.0,58.0,45.0,57.0
15802,Y. Mabella,21,France,58,68,La Berrichonne de Châteauroux,ST,53.0,36.0,36.0,55.0,45.0,53.0,36.0,36.0,45.0,36.0,55.0,51.0,57.0,54.0,37.0,53.0,36.0,36.0,45.0,36.0,55.0,51.0,57.0,54.0,37.0,57.0
15710,K. Goba,29,France,58,58,La Berrichonne de Châteauroux,ST,53.0,33.0,38.0,56.0,48.0,53.0,38.0,33.0,48.0,38.0,56.0,53.0,57.0,54.0,40.0,53.0,38.0,33.0,48.0,38.0,56.0,53.0,57.0,54.0,40.0,57.0
15713,C. Kouamé,19,Ivory Coast,58,73,Cittadella,ST,54.0,32.0,35.0,57.0,47.0,54.0,36.0,32.0,47.0,35.0,57.0,53.0,57.0,55.0,38.0,54.0,36.0,32.0,47.0,35.0,57.0,53.0,57.0,55.0,38.0,57.0
15714,Gabriel Rodrigues,21,Brazil,58,65,Ventforet Kofu,ST,48.0,39.0,37.0,52.0,44.0,48.0,34.0,39.0,44.0,37.0,52.0,46.0,57.0,47.0,35.0,48.0,34.0,39.0,44.0,37.0,52.0,46.0,57.0,47.0,35.0,57.0
15715,J. Roberts,21,England,58,72,Oxford United,ST,53.0,42.0,43.0,55.0,48.0,53.0,44.0,42.0,48.0,43.0,55.0,53.0,57.0,55.0,45.0,53.0,44.0,42.0,48.0,43.0,55.0,53.0,57.0,55.0,45.0,57.0
15720,B. Kavlak,20,Turkey,58,66,Evkur Yeni Malatyaspor,ST,54.0,31.0,34.0,56.0,47.0,54.0,36.0,31.0,47.0,34.0,56.0,53.0,57.0,54.0,38.0,54.0,36.0,31.0,47.0,34.0,56.0,53.0,57.0,54.0,38.0,57.0
15721,C. O'Connor,20,Republic of Ireland,58,68,Bohemian FC,ST,56.0,34.0,39.0,57.0,51.0,56.0,37.0,34.0,51.0,39.0,57.0,56.0,57.0,56.0,40.0,56.0,37.0,34.0,51.0,39.0,57.0,56.0,57.0,56.0,40.0,57.0
15722,D. Reiter,19,Austria,58,74,LASK Linz,ST,56.0,32.0,35.0,57.0,49.0,56.0,36.0,32.0,49.0,35.0,57.0,53.0,57.0,55.0,38.0,56.0,36.0,32.0,49.0,35.0,57.0,53.0,57.0,55.0,38.0,57.0
15730,I. Sangaré,23,Ivory Coast,58,65,AJ Auxerre,ST,53.0,34.0,35.0,55.0,46.0,53.0,36.0,34.0,46.0,35.0,55.0,53.0,57.0,54.0,38.0,53.0,36.0,34.0,46.0,35.0,55.0,53.0,57.0,54.0,38.0,57.0
16001,O. Zubkov,20,Ukraine,58,68,Shakhtar Donetsk,ST,51.0,31.0,33.0,55.0,46.0,51.0,33.0,31.0,46.0,33.0,55.0,49.0,57.0,51.0,35.0,51.0,33.0,31.0,46.0,33.0,55.0,49.0,57.0,51.0,35.0,57.0
16000,J. O'Hanlon,21,Republic of Ireland,58,66,St. Patrick's Athletic,ST,52.0,40.0,38.0,55.0,45.0,52.0,40.0,40.0,45.0,38.0,55.0,52.0,57.0,53.0,41.0,52.0,40.0,40.0,45.0,38.0,55.0,52.0,57.0,53.0,41.0,57.0
15737,H. Bandé,18,Burkina Faso,58,74,KV Mechelen,ST,57.0,31.0,37.0,58.0,50.0,57.0,37.0,31.0,50.0,37.0,58.0,56.0,57.0,58.0,39.0,57.0,37.0,31.0,50.0,37.0,58.0,56.0,57.0,58.0,39.0,57.0
15762,D. Telford,20,England,58,70,Bristol Rovers,ST,53.0,30.0,33.0,55.0,45.0,53.0,35.0,30.0,45.0,33.0,55.0,52.0,57.0,54.0,37.0,53.0,35.0,30.0,45.0,33.0,55.0,52.0,57.0,54.0,37.0,57.0
15777,K. Ogawa,19,Japan,58,74,Júbilo Iwata,ST,51.0,31.0,31.0,55.0,42.0,51.0,35.0,31.0,42.0,31.0,55.0,50.0,57.0,53.0,36.0,51.0,35.0,31.0,42.0,31.0,55.0,50.0,57.0,53.0,36.0,57.0
15778,Raul Asencio,19,Spain,58,71,Avellino,ST,56.0,36.0,40.0,56.0,51.0,56.0,37.0,36.0,51.0,40.0,56.0,54.0,57.0,55.0,40.0,56.0,37.0,36.0,51.0,40.0,56.0,54.0,57.0,55.0,40.0,57.0
15782,A. Al Megbas,21,Saudi Arabia,58,68,Al Shabab,ST,56.0,39.0,42.0,57.0,50.0,56.0,45.0,39.0,50.0,42.0,57.0,56.0,57.0,57.0,46.0,56.0,45.0,39.0,50.0,42.0,57.0,56.0,57.0,57.0,46.0,57.0
15785,M. Mølvadgaard,17,Denmark,58,74,Randers FC,ST,53.0,31.0,35.0,56.0,47.0,53.0,37.0,31.0,47.0,35.0,56.0,54.0,57.0,55.0,39.0,53.0,37.0,31.0,47.0,35.0,56.0,54.0,57.0,55.0,39.0,57.0
15732,C. Velásquez,31,Argentina,58,58,Jaguares Fútbol Club,ST,52.0,30.0,33.0,55.0,45.0,52.0,34.0,30.0,45.0,33.0,55.0,51.0,57.0,53.0,35.0,52.0,34.0,30.0,45.0,33.0,55.0,51.0,57.0,53.0,35.0,57.0
15105,J. Cortés,22,Colombia,59,67,Atlético Bucaramanga,ST,52.0,33.0,34.0,56.0,44.0,52.0,37.0,33.0,44.0,34.0,56.0,53.0,58.0,55.0,39.0,52.0,37.0,33.0,44.0,34.0,56.0,53.0,58.0,55.0,39.0,58.0
15095,A. May,23,England,59,66,Doncaster Rovers,ST,58.0,45.0,48.0,60.0,52.0,58.0,49.0,45.0,52.0,48.0,60.0,57.0,58.0,60.0,51.0,58.0,49.0,45.0,52.0,48.0,60.0,57.0,58.0,60.0,51.0,58.0
15106,R. Marín,19,Mexico,59,76,Club América,ST,56.0,35.0,39.0,57.0,50.0,56.0,39.0,35.0,50.0,39.0,57.0,55.0,58.0,55.0,41.0,56.0,39.0,35.0,50.0,39.0,57.0,55.0,58.0,55.0,41.0,58.0
15143,A. Guliev,21,Azerbaijan,59,68,FC Ural,ST,54.0,35.0,38.0,56.0,49.0,54.0,36.0,35.0,49.0,38.0,56.0,52.0,58.0,54.0,38.0,54.0,36.0,35.0,49.0,38.0,56.0,52.0,58.0,54.0,38.0,58.0
15118,M. Slavov,26,Ukraine,59,60,Chemnitzer FC,ST,50.0,42.0,39.0,54.0,45.0,50.0,39.0,42.0,45.0,39.0,54.0,48.0,58.0,50.0,39.0,50.0,39.0,42.0,45.0,39.0,54.0,48.0,58.0,50.0,39.0,58.0
15134,N. Kabamba,24,England,59,66,Colchester United,ST,50.0,33.0,33.0,53.0,42.0,50.0,34.0,33.0,42.0,33.0,53.0,49.0,58.0,51.0,35.0,50.0,34.0,33.0,42.0,33.0,53.0,49.0,58.0,51.0,35.0,58.0
15091,F. Álvarez,24,Argentina,59,66,Atlético Tucumán,ST,63.0,40.0,48.0,62.0,59.0,63.0,47.0,40.0,59.0,48.0,62.0,63.0,58.0,62.0,50.0,63.0,47.0,40.0,59.0,48.0,62.0,63.0,58.0,62.0,50.0,58.0
15158,S. Elliott,33,Republic of Ireland,59,59,Drogheda United,ST,57.0,39.0,41.0,58.0,52.0,57.0,38.0,39.0,52.0,41.0,58.0,56.0,58.0,57.0,40.0,57.0,38.0,39.0,52.0,41.0,58.0,56.0,58.0,57.0,40.0,58.0
15165,A. Scherbakov,19,Russia,59,73,FC Ural,ST,58.0,34.0,39.0,58.0,51.0,58.0,40.0,34.0,51.0,39.0,58.0,56.0,58.0,58.0,41.0,58.0,40.0,34.0,51.0,39.0,58.0,56.0,58.0,58.0,41.0,58.0
15109,S. Pispas,19,Greece,59,73,Panathinaikos FC,ST,54.0,32.0,34.0,57.0,46.0,54.0,39.0,32.0,46.0,34.0,57.0,54.0,58.0,56.0,40.0,54.0,39.0,32.0,46.0,34.0,57.0,54.0,58.0,56.0,40.0,58.0
15089,E. Sánchez,17,Mexico,59,74,Pachuca,ST,54.0,31.0,35.0,56.0,47.0,54.0,38.0,31.0,47.0,35.0,56.0,53.0,58.0,55.0,39.0,54.0,38.0,31.0,47.0,35.0,56.0,53.0,58.0,55.0,39.0,58.0
15174,R. Kristo,24,United States,59,65,VfL Osnabrück,ST,46.0,41.0,37.0,50.0,41.0,46.0,36.0,41.0,41.0,37.0,50.0,45.0,58.0,46.0,35.0,46.0,36.0,41.0,41.0,37.0,50.0,45.0,58.0,46.0,35.0,58.0
15077,T. Heardman,21,England,59,67,Bury,ST,54.0,42.0,41.0,55.0,49.0,54.0,39.0,42.0,49.0,41.0,55.0,51.0,58.0,53.0,40.0,54.0,39.0,42.0,49.0,41.0,55.0,51.0,58.0,53.0,40.0,58.0
15073,E. Stokes,21,Republic of Ireland,59,70,Leeds United,ST,55.0,34.0,36.0,56.0,47.0,55.0,36.0,34.0,47.0,36.0,56.0,53.0,58.0,55.0,38.0,55.0,36.0,34.0,47.0,36.0,56.0,53.0,58.0,55.0,38.0,58.0
15072,D. Ladan,17,Netherlands,59,74,ADO Den Haag,ST,57.0,34.0,37.0,59.0,49.0,57.0,39.0,34.0,49.0,37.0,59.0,55.0,58.0,58.0,40.0,57.0,39.0,34.0,49.0,37.0,59.0,55.0,58.0,58.0,40.0,58.0
15067,K. Tagawa,18,Japan,59,70,Sagan Tosu,ST,56.0,40.0,43.0,57.0,50.0,56.0,42.0,40.0,50.0,43.0,57.0,56.0,58.0,57.0,43.0,56.0,42.0,40.0,50.0,43.0,57.0,56.0,58.0,57.0,43.0,58.0
15065,S. Surridge,18,England,59,72,Yeovil Town,ST,54.0,41.0,41.0,56.0,48.0,54.0,40.0,41.0,48.0,41.0,56.0,52.0,58.0,53.0,41.0,54.0,40.0,41.0,48.0,41.0,56.0,52.0,58.0,53.0,41.0,58.0
15059,Sergio Benito,18,Spain,59,73,Rayo Vallecano,ST,59.0,34.0,40.0,59.0,54.0,59.0,39.0,34.0,54.0,40.0,59.0,57.0,58.0,58.0,42.0,59.0,39.0,34.0,54.0,40.0,59.0,57.0,58.0,58.0,42.0,58.0
9972,C. Andriamahitsinoro,27,Madagascar,65,65,Ohod Club,ST,61.0,37.0,45.0,61.0,55.0,61.0,47.0,37.0,55.0,45.0,61.0,64.0,58.0,63.0,50.0,61.0,47.0,37.0,55.0,45.0,61.0,64.0,58.0,63.0,50.0,58.0
13224,S. Jovanović,25,Serbia,62,65,Córdoba CF,ST,59.0,39.0,45.0,59.0,55.0,59.0,47.0,39.0,55.0,45.0,59.0,61.0,58.0,61.0,50.0,59.0,47.0,39.0,55.0,45.0,59.0,61.0,58.0,61.0,50.0,58.0
13810,A. Gilliead,21,England,61,75,Bradford City,ST,59.0,37.0,42.0,59.0,53.0,59.0,43.0,37.0,53.0,42.0,59.0,60.0,58.0,60.0,46.0,59.0,43.0,37.0,53.0,42.0,59.0,60.0,58.0,60.0,46.0,58.0
13922,Y. Segawa,23,Japan,61,68,Omiya Ardija,ST,59.0,37.0,43.0,59.0,53.0,59.0,45.0,37.0,53.0,43.0,59.0,61.0,58.0,61.0,47.0,59.0,45.0,37.0,53.0,43.0,59.0,61.0,58.0,61.0,47.0,58.0
14355,T. Heintz,18,Norway,61,73,Sarpsborg 08 FF,ST,59.0,42.0,45.0,60.0,54.0,59.0,48.0,42.0,54.0,45.0,60.0,60.0,58.0,61.0,51.0,59.0,48.0,42.0,54.0,45.0,60.0,60.0,58.0,61.0,51.0,58.0
14475,Junior Messias,26,Brazil,60,63,Vercelli,ST,60.0,30.0,39.0,60.0,55.0,60.0,39.0,30.0,55.0,39.0,60.0,60.0,58.0,61.0,42.0,60.0,39.0,30.0,55.0,39.0,60.0,60.0,58.0,61.0,42.0,58.0
14642,C. Jahraldo-Martin,24,Antigua & Barbuda,60,66,Newport County,ST,58.0,38.0,43.0,59.0,53.0,58.0,45.0,38.0,53.0,43.0,59.0,59.0,58.0,60.0,47.0,58.0,45.0,38.0,53.0,43.0,59.0,59.0,58.0,60.0,47.0,58.0
15079,B. Gschweidl,21,Austria,59,68,Wolfsberger AC,ST,53.0,36.0,37.0,56.0,46.0,53.0,40.0,36.0,46.0,37.0,56.0,53.0,58.0,55.0,41.0,53.0,40.0,36.0,46.0,37.0,56.0,53.0,58.0,55.0,41.0,58.0
15178,M. Abundiz,21,Mexico,59,67,Deportivo Toluca,ST,54.0,35.0,37.0,56.0,49.0,54.0,38.0,35.0,49.0,37.0,56.0,54.0,58.0,55.0,39.0,54.0,38.0,35.0,49.0,37.0,56.0,54.0,58.0,55.0,39.0,58.0
15329,I. Akinade,23,Nigeria,59,64,Bohemian FC,ST,54.0,46.0,45.0,56.0,49.0,54.0,47.0,46.0,49.0,45.0,56.0,54.0,58.0,56.0,47.0,54.0,47.0,46.0,49.0,45.0,56.0,54.0,58.0,56.0,47.0,58.0
15189,J. Carranza,17,Argentina,59,81,Banfield,ST,56.0,38.0,40.0,58.0,50.0,56.0,42.0,38.0,50.0,40.0,58.0,55.0,58.0,57.0,43.0,56.0,42.0,38.0,50.0,40.0,58.0,55.0,58.0,57.0,43.0,58.0
15350,M. Entrup,19,Austria,59,66,SKN St. Pölten,ST,54.0,37.0,39.0,56.0,49.0,54.0,39.0,37.0,49.0,39.0,56.0,53.0,58.0,55.0,40.0,54.0,39.0,37.0,49.0,39.0,56.0,53.0,58.0,55.0,40.0,58.0
15359,H. Hyseni,24,Germany,59,62,SV Meppen,ST,53.0,42.0,40.0,55.0,48.0,53.0,38.0,42.0,48.0,40.0,55.0,51.0,58.0,52.0,39.0,53.0,38.0,42.0,48.0,40.0,55.0,51.0,58.0,52.0,39.0,58.0
15360,J. Schneider,23,Germany,59,65,FC St. Pauli,ST,54.0,38.0,37.0,56.0,46.0,54.0,40.0,38.0,46.0,37.0,56.0,54.0,58.0,56.0,42.0,54.0,40.0,38.0,46.0,37.0,56.0,54.0,58.0,56.0,42.0,58.0
15373,A. Pululu,18,France,59,75,FC Basel,ST,55.0,33.0,37.0,57.0,49.0,55.0,38.0,33.0,49.0,37.0,57.0,55.0,58.0,56.0,40.0,55.0,38.0,33.0,49.0,37.0,57.0,55.0,58.0,56.0,40.0,58.0
15383,B. Wright,22,Canada,59,67,New England Revolution,ST,50.0,38.0,36.0,54.0,43.0,50.0,35.0,38.0,43.0,36.0,54.0,49.0,58.0,51.0,36.0,50.0,35.0,38.0,43.0,36.0,54.0,49.0,58.0,51.0,36.0,58.0
15405,J. Godínez,20,Mexico,59,74,Guadalajara,ST,52.0,40.0,38.0,55.0,46.0,52.0,38.0,40.0,46.0,38.0,55.0,49.0,58.0,52.0,39.0,52.0,38.0,40.0,46.0,38.0,55.0,49.0,58.0,52.0,39.0,58.0
15409,E. Nketiah,18,England,59,80,Arsenal,ST,57.0,33.0,37.0,59.0,50.0,57.0,37.0,33.0,50.0,37.0,59.0,56.0,58.0,58.0,39.0,57.0,37.0,33.0,50.0,37.0,59.0,56.0,58.0,58.0,39.0,58.0
15421,J. Ayunga,20,Kenya,59,71,Galway United,ST,53.0,41.0,41.0,56.0,48.0,53.0,44.0,41.0,48.0,41.0,56.0,56.0,58.0,57.0,46.0,53.0,44.0,41.0,48.0,41.0,56.0,56.0,58.0,57.0,46.0,58.0
15186,A. Grbic,20,Austria,59,67,SCR Altach,ST,55.0,37.0,40.0,56.0,49.0,55.0,41.0,37.0,49.0,40.0,56.0,56.0,58.0,57.0,43.0,55.0,41.0,37.0,49.0,40.0,56.0,56.0,58.0,57.0,43.0,58.0
15436,C. Calvert,20,United States,59,69,Colorado Rapids,ST,53.0,43.0,40.0,56.0,46.0,53.0,40.0,43.0,46.0,40.0,56.0,52.0,58.0,54.0,41.0,53.0,40.0,43.0,46.0,40.0,56.0,52.0,58.0,54.0,41.0,58.0
15444,A. Williams,23,England,59,68,Newport County,ST,54.0,41.0,44.0,55.0,51.0,54.0,44.0,41.0,51.0,44.0,55.0,56.0,58.0,55.0,46.0,54.0,44.0,41.0,51.0,44.0,55.0,56.0,58.0,55.0,46.0,58.0
15454,C. Main,25,England,59,63,Portsmouth,ST,52.0,43.0,43.0,55.0,48.0,52.0,41.0,43.0,48.0,43.0,55.0,53.0,58.0,53.0,43.0,52.0,41.0,43.0,48.0,43.0,55.0,53.0,58.0,53.0,43.0,58.0
15456,J. Shaibu,19,Denmark,59,72,Brentford,ST,53.0,34.0,35.0,56.0,45.0,53.0,37.0,34.0,45.0,35.0,56.0,53.0,58.0,55.0,38.0,53.0,37.0,34.0,45.0,35.0,56.0,53.0,58.0,55.0,38.0,58.0
15473,B. Varga,23,Hungary,59,67,SV Mattersburg,ST,55.0,32.0,35.0,57.0,48.0,55.0,36.0,32.0,48.0,35.0,57.0,53.0,58.0,55.0,38.0,55.0,36.0,32.0,48.0,35.0,57.0,53.0,58.0,55.0,38.0,58.0
15498,R. Sawakami,23,Japan,59,65,Cerezo Osaka,ST,57.0,38.0,42.0,57.0,52.0,57.0,39.0,38.0,52.0,42.0,57.0,54.0,58.0,55.0,40.0,57.0,39.0,38.0,52.0,42.0,57.0,54.0,58.0,55.0,40.0,58.0
15499,J. Macías,17,Mexico,59,76,Guadalajara,ST,54.0,35.0,36.0,56.0,47.0,54.0,38.0,35.0,47.0,36.0,56.0,53.0,58.0,55.0,39.0,54.0,38.0,35.0,47.0,36.0,56.0,53.0,58.0,55.0,39.0,58.0
15505,R. Wolsztyński,22,Poland,59,65,Górnik Zabrze,ST,56.0,35.0,39.0,57.0,51.0,56.0,40.0,35.0,51.0,39.0,57.0,57.0,58.0,57.0,42.0,56.0,40.0,35.0,51.0,39.0,57.0,57.0,58.0,57.0,42.0,58.0
15513,A. Nkosi,24,South Africa,59,63,Orlando Pirates,ST,55.0,31.0,34.0,57.0,47.0,55.0,38.0,31.0,47.0,34.0,57.0,57.0,58.0,58.0,41.0,55.0,38.0,31.0,47.0,34.0,57.0,57.0,58.0,58.0,41.0,58.0
15529,S. Humphrys,19,England,59,71,Fulham,ST,52.0,35.0,35.0,55.0,45.0,52.0,36.0,35.0,45.0,35.0,55.0,51.0,58.0,53.0,37.0,52.0,36.0,35.0,45.0,35.0,55.0,51.0,58.0,53.0,37.0,58.0
15347,M. Górski,27,Poland,59,59,Korona Kielce,ST,59.0,43.0,45.0,59.0,52.0,59.0,46.0,43.0,52.0,45.0,59.0,59.0,58.0,61.0,49.0,59.0,46.0,43.0,52.0,45.0,59.0,59.0,58.0,61.0,49.0,58.0
15332,R. Dadashov,18,Azerbaijan,59,75,Eintracht Frankfurt,ST,55.0,38.0,39.0,57.0,48.0,55.0,39.0,38.0,48.0,39.0,57.0,54.0,58.0,56.0,41.0,55.0,39.0,38.0,48.0,39.0,57.0,54.0,58.0,56.0,41.0,58.0
15431,P. Skapetis,22,Australia,59,67,Brisbane Roar,ST,57.0,36.0,40.0,58.0,51.0,57.0,41.0,36.0,51.0,40.0,58.0,58.0,58.0,58.0,43.0,57.0,41.0,36.0,51.0,40.0,58.0,58.0,58.0,58.0,43.0,58.0
15325,A. Kadyrov,20,Russia,59,70,Terek Grozny,ST,54.0,32.0,35.0,56.0,47.0,54.0,36.0,32.0,47.0,35.0,56.0,52.0,58.0,55.0,38.0,54.0,36.0,32.0,47.0,35.0,56.0,52.0,58.0,55.0,38.0,58.0
15192,K. Kinoshita,22,Japan,59,66,Halmstads BK,ST,54.0,36.0,38.0,56.0,48.0,54.0,39.0,36.0,48.0,38.0,56.0,55.0,58.0,56.0,42.0,54.0,39.0,36.0,48.0,38.0,56.0,55.0,58.0,56.0,42.0,58.0
15200,C. Deprès,22,France,59,66,Nîmes Olympique,ST,52.0,38.0,38.0,54.0,46.0,52.0,37.0,38.0,46.0,38.0,54.0,51.0,58.0,53.0,38.0,52.0,37.0,38.0,46.0,38.0,54.0,51.0,58.0,53.0,38.0,58.0
15201,M. De Luca,18,Italy,59,72,Torino,ST,54.0,32.0,35.0,56.0,48.0,54.0,33.0,32.0,48.0,35.0,56.0,51.0,58.0,54.0,35.0,54.0,33.0,32.0,48.0,35.0,56.0,51.0,58.0,54.0,35.0,58.0
15209,G. Gentile,22,Argentina,59,66,Temperley,ST,58.0,33.0,39.0,58.0,51.0,58.0,39.0,33.0,51.0,39.0,58.0,58.0,58.0,59.0,42.0,58.0,39.0,33.0,51.0,39.0,58.0,58.0,58.0,59.0,42.0,58.0
15212,I. Ugbo,18,England,59,74,Barnsley,ST,54.0,36.0,37.0,57.0,46.0,54.0,39.0,36.0,46.0,37.0,57.0,54.0,58.0,56.0,40.0,54.0,39.0,36.0,46.0,37.0,57.0,54.0,58.0,56.0,40.0,58.0
15230,V. Faherty,30,Republic of Ireland,59,59,Sligo Rovers,ST,51.0,40.0,38.0,54.0,45.0,51.0,39.0,40.0,45.0,38.0,54.0,50.0,58.0,52.0,40.0,51.0,39.0,40.0,45.0,38.0,54.0,50.0,58.0,52.0,40.0,58.0
15251,A. Arce,20,Mexico,59,67,U.N.A.M.,ST,53.0,35.0,36.0,55.0,47.0,53.0,36.0,35.0,47.0,36.0,55.0,51.0,58.0,53.0,37.0,53.0,36.0,35.0,47.0,36.0,55.0,51.0,58.0,53.0,37.0,58.0
15252,S. Shimizu,24,Japan,59,63,Omiya Ardija,ST,52.0,37.0,38.0,54.0,47.0,52.0,38.0,37.0,47.0,38.0,54.0,53.0,58.0,54.0,40.0,52.0,38.0,37.0,47.0,38.0,54.0,53.0,58.0,54.0,40.0,58.0
15261,H. Lorentzen,19,Norway,59,69,Sandefjord Fotball,ST,56.0,32.0,35.0,58.0,47.0,56.0,37.0,32.0,47.0,35.0,58.0,54.0,58.0,57.0,39.0,56.0,37.0,32.0,47.0,35.0,58.0,54.0,58.0,57.0,39.0,58.0
15264,M. Eid,24,Palestine,59,65,Kalmar FF,ST,54.0,36.0,38.0,56.0,48.0,54.0,36.0,36.0,48.0,38.0,56.0,54.0,58.0,55.0,39.0,54.0,36.0,36.0,48.0,38.0,56.0,54.0,58.0,55.0,39.0,58.0
15268,M. Skenderović,19,Germany,59,75,TSG 1899 Hoffenheim,ST,55.0,33.0,36.0,57.0,49.0,55.0,36.0,33.0,49.0,36.0,57.0,53.0,58.0,55.0,38.0,55.0,36.0,33.0,49.0,36.0,57.0,53.0,58.0,55.0,38.0,58.0
15272,D. Osei,19,England,59,71,Oldham Athletic,ST,56.0,45.0,46.0,58.0,52.0,56.0,49.0,45.0,52.0,46.0,58.0,57.0,58.0,58.0,50.0,56.0,49.0,45.0,52.0,46.0,58.0,57.0,58.0,58.0,50.0,58.0
15226,P. Dzalto,20,Croatia,59,70, SSV Jahn Regensburg,ST,61.0,33.0,40.0,61.0,53.0,61.0,40.0,33.0,53.0,40.0,61.0,59.0,58.0,61.0,43.0,61.0,40.0,33.0,53.0,40.0,61.0,59.0,58.0,61.0,43.0,58.0
15310,S. Hirayama,32,Japan,59,59,Vegalta Sendai,ST,54.0,46.0,46.0,55.0,50.0,54.0,41.0,46.0,50.0,46.0,55.0,51.0,58.0,53.0,42.0,54.0,41.0,46.0,50.0,46.0,55.0,51.0,58.0,53.0,42.0,58.0
15291,C. Iwasa,23,United States,59,66,Sporting Kansas City,ST,54.0,41.0,42.0,56.0,49.0,54.0,43.0,41.0,49.0,42.0,56.0,54.0,58.0,54.0,44.0,54.0,43.0,41.0,49.0,42.0,56.0,54.0,58.0,54.0,44.0,58.0
15294,S. Al Mutairi,29,Saudi Arabia,59,59,Al Batin,ST,52.0,34.0,35.0,56.0,44.0,52.0,38.0,34.0,44.0,35.0,56.0,53.0,58.0,55.0,39.0,52.0,38.0,34.0,44.0,35.0,56.0,53.0,58.0,55.0,39.0,58.0
15301,E. Ayala,21,Mexico,59,68,Pachuca,ST,53.0,35.0,36.0,55.0,48.0,53.0,35.0,35.0,48.0,36.0,55.0,49.0,58.0,52.0,36.0,53.0,35.0,35.0,48.0,36.0,55.0,49.0,58.0,52.0,36.0,58.0
15305,L. Scott,20,Australia,59,69,Western Sydney Wanderers,ST,52.0,36.0,37.0,56.0,45.0,52.0,39.0,36.0,45.0,37.0,56.0,53.0,58.0,55.0,41.0,52.0,39.0,36.0,45.0,37.0,56.0,53.0,58.0,55.0,41.0,58.0
15317,J. Wright,20,England,59,74,Sheffield United,ST,56.0,37.0,39.0,58.0,48.0,56.0,38.0,37.0,48.0,39.0,58.0,54.0,58.0,57.0,41.0,56.0,38.0,37.0,48.0,39.0,58.0,54.0,58.0,57.0,41.0,58.0
14481,M. Peralta,20,Argentina,60,69,Atlético Tucumán,ST,55.0,40.0,41.0,57.0,50.0,55.0,42.0,40.0,50.0,41.0,57.0,54.0,59.0,56.0,43.0,55.0,42.0,40.0,50.0,41.0,57.0,54.0,59.0,56.0,43.0,59.0
14482,N. Obolskiy,20,Russia,60,68,Dinamo Moscow,ST,56.0,36.0,38.0,58.0,50.0,56.0,38.0,36.0,50.0,38.0,58.0,54.0,59.0,56.0,40.0,56.0,38.0,36.0,50.0,38.0,58.0,54.0,59.0,56.0,40.0,59.0
14485,Allef,22,Brazil,60,66,Vitória Setúbal,ST,55.0,36.0,38.0,57.0,49.0,55.0,37.0,36.0,49.0,38.0,57.0,53.0,59.0,55.0,39.0,55.0,37.0,36.0,49.0,38.0,57.0,53.0,59.0,55.0,39.0,59.0
14501,P. Daka,18,Zambia,60,76,FC Red Bull Salzburg,ST,55.0,37.0,37.0,58.0,47.0,55.0,39.0,37.0,47.0,37.0,58.0,55.0,59.0,57.0,40.0,55.0,39.0,37.0,47.0,37.0,58.0,55.0,59.0,57.0,40.0,59.0
14517,R. Armand,30,France,60,60,GFC Ajaccio,ST,56.0,38.0,40.0,58.0,50.0,56.0,40.0,38.0,50.0,40.0,58.0,55.0,59.0,56.0,42.0,56.0,40.0,38.0,50.0,40.0,58.0,55.0,59.0,56.0,42.0,59.0
